FewsId;par_oms;par_oms_nl;TaxonType;wns_code;wns_oms;wns_oms_ecolims;eenheid;eenheid_oms
BEDKG[%];Rumex x pratensis;Bermzuring;MACFT;HDSR5139;MACFT_RUMEPRAT[%][NVT][OR];Rumex x pratensis[%][NVT][OR];%;procent
BEDKG[%];Sagittaria;;MACFT;HDSR5140;MACFT_SAIT[%][EMS][OW];Sagittaria[%][EMS][OW];%;procent
BEDKG[%];Sagittaria sagittifolia;Pijlkruid;MACFT;HDSR5141;MACFT_SAITSAGI[%][DRIJVD][OR];Sagittaria sagittifolia[%][DRIJVD][OR];%;procent
BEDKG[%];Sagittaria sagittifolia;Pijlkruid;MACFT;HDSR5142;MACFT_SAITSAGI[%][EMS][OR];Sagittaria sagittifolia[%][EMS][OR];%;procent
BEDKG[%];Sagittaria sagittifolia;Pijlkruid;MACFT;HDSR5143;MACFT_SAITSAGI[%][EMS][OW];Sagittaria sagittifolia[%][EMS][OW];%;procent
BEDKG[%];Sagittaria sagittifolia;Pijlkruid;MACFT;HDSR5144;MACFT_SAITSAGI[%][SUBMS][OR];Sagittaria sagittifolia[%][SUBMS][OR];%;procent
BEDKG[%];Scheuchzeria palustris;Veenbloembies;MACFT;HDSR5145;MACFT_SCHEPALU[%][NVT][OR];Scheuchzeria palustris[%][NVT][OR];%;procent
BEDKG[%];Scrophularia;;MACFT;HDSR5146;MACFT_SCRO[%][NVT][OR];Scrophularia[%][NVT][OR];%;procent
BEDKG[%];Sedum;;MACFT;HDSR5147;MACFT_SEDU[%][NVT][OR];Sedum[%][NVT][OR];%;procent
BEDKG[%];Sisymbrium;;MACFT;HDSR5148;MACFT_SISY[%][NVT][OR];Sisymbrium[%][NVT][OR];%;procent
BEDKG[%];Sium;;MACFT;HDSR5149;MACFT_SIUM[%][NVT][OR];Sium[%][NVT][OR];%;procent
BEDKG[%];Sonchus;;MACFT;HDSR5150;MACFT_SONC[%][NVT][OW];Sonchus[%][NVT][OW];%;procent
BEDKG[%];Sparganium emersum;Kleine egelskop;MACFT;HDSR5151;MACFT_SPGAEMER[%][EMS][OR];Sparganium emersum[%][EMS][OR];%;procent
BEDKG[%];Sparganium emersum;Kleine egelskop;MACFT;HDSR5152;MACFT_SPGAEMER[%][EMS][OW];Sparganium emersum[%][EMS][OW];%;procent
BEDKG[%];Sparganium emersum;Kleine egelskop;MACFT;HDSR5153;MACFT_SPGAEMER[%][SUBMS][OR];Sparganium emersum[%][SUBMS][OR];%;procent
BEDKG[%];Sparganium erectum;Grote egelskop;MACFT;HDSR5154;MACFT_SPGAEREC[%][DRIJVD][OW];Sparganium erectum[%][DRIJVD][OW];%;procent
BEDKG[%];Sparganium erectum;Grote egelskop;MACFT;HDSR5155;MACFT_SPGAEREC[%][EMS][OW];Sparganium erectum[%][EMS][OW];%;procent
BEDKG[%];Sparganium erectum;Grote egelskop;MACFT;HDSR5156;MACFT_SPGAEREC[%][SUBMS][OW];Sparganium erectum[%][SUBMS][OW];%;procent
BEDKG[%];Sphagnum denticulatum;Geoord veenmos;MACFT;HDSR5157;MACFT_SPHADENT[%][NVT][OR];Sphagnum denticulatum[%][NVT][OR];%;procent
BEDKG[%];Stellaria;;MACFT;HDSR5158;MACFT_STEL[%][NVT][OR];Stellaria[%][NVT][OR];%;procent
BEDKG[%];Stellaria holostea;Grote muur;MACFT;HDSR5159;MACFT_STELHOLO[%][NVT][OR];Stellaria holostea[%][NVT][OR];%;procent
BEDKG[%];Stellaria uliginosa;Moerasmuur;MACFT;HDSR5160;MACFT_STELULIG[%][NVT][OR];Stellaria uliginosa[%][NVT][OR];%;procent
BEDKG[%];Stratiotes;;MACFT;HDSR5161;MACFT_STRA[%][EMS][OW];Stratiotes[%][EMS][OW];%;procent
BEDKG[%];Stratiotes;;MACFT;HDSR5162;MACFT_STRA[%][SUBMS][OW];Stratiotes[%][SUBMS][OW];%;procent
BEDKG[%];Stratiotes aloides;Krabbenscheer;MACFT;HDSR5163;MACFT_STRAALOI[%][EMS][OW];Stratiotes aloides[%][EMS][OW];%;procent
BEDKG[%];Stratiotes aloides;Krabbenscheer;MACFT;HDSR5164;MACFT_STRAALOI[%][SUBMS][OW];Stratiotes aloides[%][SUBMS][OW];%;procent
BEDKG[%];Trifolium;;MACFT;HDSR5165;MACFT_TRIF[%][NVT][OR];Trifolium[%][NVT][OR];%;procent
BEDKG[%];Trifolium hybridum;Basterdklaver;MACFT;HDSR5166;MACFT_TRIFHYBR[%][NVT][OR];Trifolium hybridum[%][NVT][OR];%;procent
BEDKG[%];Typha;;MACFT;HDSR5167;MACFT_TYPH[%][NVT][OR];Typha[%][NVT][OR];%;procent
BEDKG[%];Valeriana officinalis;Echte valeriaan;MACFT;HDSR5168;MACFT_VALEOFFI[%][DRIJVD][OR];Valeriana officinalis[%][DRIJVD][OR];%;procent
BEDKG[%];Viburnum opulus;Gelderse roos;MACFT;HDSR5169;MACFT_VIBUOPUL[%][NVT][OR];Viburnum opulus[%][NVT][OR];%;procent
BEDKG[%];Viburnum opulus;Gelderse roos;MACFT;HDSR5170;MACFT_VIBUOPUL[%][NVT][OW];Viburnum opulus[%][NVT][OW];%;procent
BEDKG[%];Vinca;;MACFT;HDSR5171;MACFT_VINC[%][NVT][OR];Vinca[%][NVT][OR];%;procent
BEDKG[%];Wolffia columbiana;Colombiaanse wolffia;MACFT;HDSR5172;MACFT_WOLFCOLU[%][NVT][OR];Wolffia columbiana[%][NVT][OR];%;procent
BEDKG[%];Vegetatie;;;HDSR5173;VEGTTE[%][NVT][OR];Vegetatie[%][NVT][OR];%;procent
AANTL[n];Dixidae;;MACEV;HDSR5035;MACEV_DIXI[n][LS-PO][OW];Dixidae[n][LS-PO][OW];n;exemplaren
AANTL[n];Macropelopia adaucta;;MACEV;HDSR5044;MACEV_MALOADAU[n][NVT][OW];Macropelopia adaucta[n][NVT][OW];n;exemplaren
AANTL[n];Oligochaeta;;MACEV;HDSR5049;MACEV_OLCH[n][LS-JU][OW];Oligochaeta[n][LS-JU][OW];n;exemplaren
AANTL[DIMSLS];Bufo bufo;Gewone pad;AMFBE;HDSR5174;AMFBE_BUFOBUFO[DIMSLS][NVT][NT];Bufo bufo[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Lissotriton vulgaris;Kleine watersalamander;AMFBE;HDSR5175;AMFBE_LISSVULG[DIMSLS][NVT][NT];Lissotriton vulgaris[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Pelophylax;Groene kikker spec.;AMFBE;HDSR5176;AMFBE_PELP[DIMSLS][NVT][NT];Pelophylax[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Rana temporaria;Bruine kikker;AMFBE;HDSR5177;AMFBE_RANATEMP[DIMSLS][NVT][NT];Rana temporaria[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Dreissena polymorpha;;MACEV;HDSR5180;MACEV_DREIPOLY[DIMSLS][NVT][OW];Dreissena polymorpha[DIMSLS][NVT][OW];DIMSLS;dimensieloos
AANTL[DIMSLS];Mytilus edulis;;MACEV;HDSR5181;MACEV_MYTIEDUL[DIMSLS][NVT][OW];Mytilus edulis[DIMSLS][NVT][OW];DIMSLS;dimensieloos
Overige macrofauna[DIMSLS];Overige macrofauna;;MACEV;HDSR5182;MACEV_OVERIG[DIMSLS][NVT][OW];Overige macrofauna[DIMSLS][NVT][OW];DIMSLS;dimensieloos
AANTL[DIMSLS];Procambarus clarkii;Rode Amerikaanse rivierkreeft;MACEV;HDSR5183;MACEV_PRCACLAR[DIMSLS][NVT][OW];Procambarus clarkii[DIMSLS][NVT][OW];DIMSLS;dimensieloos
BEDKG[%];Arctium minus;Gewone klit;MACFT;HDSR5184;MACFT_ARCTMINU[%][NVT][OR];Arctium minus[%][NVT][OR];%;procent
BEDKG[%];Calystegia sepium;;MACFT;HDSR5188;MACFT_CALYSEPI[%][NVT][OR];Calystegia sepium[%][NVT][OR];%;procent
BEDKG[%];Callitriche hamulata;;MACFT;HDSR5189;MACFT_CATRHAMU[%][NVT][OW];Callitriche hamulata[%][NVT][OW];%;procent
BEDKG[%];Elymus repens;;MACFT;HDSR5191;MACFT_ELYMREPE[%][NVT][OR];Elymus repens[%][NVT][OR];%;procent
BEDKG[%];Epilobium tetragonum;Kantige basterdwederik s.l.;MACFT;HDSR5192;MACFT_EPILTETR[%][NVT][OR];Epilobium tetragonum[%][NVT][OR];%;procent
BEDKG[%];Erigeron canadensis;;MACFT;HDSR5193;MACFT_ERIGCANA[%][NVT][OR];Erigeron canadensis[%][NVT][OR];%;procent
BEDKG[%];Galium palustre;Moeraswalstro;MACFT;HDSR5194;MACFT_GALIPALU[%][NVT][OR];Galium palustre[%][NVT][OR];%;procent
BEDKG[%];Hypericum dubium;;MACFT;HDSR5195;MACFT_HYPEDUBI[%][NVT][OR];Hypericum dubium[%][NVT][OR];%;procent
BEDKG[%];Poa pratensis;Veldbeemdgras;MACFT;HDSR5199;MACFT_POAPRAT[%][NVT][OR];Poa pratensis[%][NVT][OR];%;procent
BEDKG[%];Rorippa microphylla;;MACFT;HDSR5200;MACFT_RORIMICR[%][NVT][OR];Rorippa microphylla[%][NVT][OR];%;procent
BEDKG[%];Rorippa nasturtium-aquaticum;;MACFT;HDSR5201;MACFT_RORINAAU[%][NVT][OR];Rorippa nasturtium-aquaticum[%][NVT][OR];%;procent
BEDKG[%];Scirpus maritimus;;MACFT;HDSR5187;MACFT_SCIRMARI[%][NVT][OR];Scirpus maritimus[%][NVT][OR];%;procent
BEDKG[%];Senecio aquaticus;;MACFT;HDSR5203;MACFT_SENEAQUA[%][NVT][OR];Senecio aquaticus[%][NVT][OR];%;procent
BEDKG[%];Taraxacum officinale;Paardenbloem;MACFT;HDSR5205;MACFT_TARAOFFI[%][NVT][OR];Taraxacum officinale[%][NVT][OR];%;procent
AANTL[DIMSLS];Testudines;;REPTL;HDSR5208;REPTL_TEST[DIMSLS][NVT][NT];Testudines[DIMSLS][NVT][NT];DIMSLS;dimensieloos
Vissen overig[DIMSLS];Vissen overig;;VISSN;HDSR5210;VISSN_OVERIG[DIMSLS][NVT][OW];[DIMSLS][NVT][OW];DIMSLS;dimensieloos
Rietzangvogels[DIMSLS];Rietzangvogels;;VOGL;HDSR5211;VOGL_RIETZ[DIMSLS][NVT][NT];Rietzangvogels[DIMSLS][NVT][NT];DIMSLS;dimensieloos
Stadseend en gans[DIMSLS];Stadseend en gans;;VOGL;HDSR5212;VOGL_STAD[DIMSLS][NVT][NT];Stadseend en gans[DIMSLS][NVT][NT];DIMSLS;dimensieloos
AANTL[DIMSLS];Alcedo atthis;IJsvogel;VOGLS;HDSR5213;VOGLS_ALCEATTH[DIMSLS][NVT][NT];Alcedo atthis[DIMSLS][NVT][NT];DIMSLS;dimensieloos
