fewsid;Id;Code;Omschrijving;Groep;Titel;Begin geldigheid;Eind geldigheid
68;371;I10695.00;NEN-EN-ISO 10695:2000 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
69;372;I10704.12;NEN-ISO 10704:2012 en;Norm radioactiviteit;;1 juli 2013 00:00:00;1 januari 2100 00:00:00
70;373;I10705-1.01;NEN-EN-ISO 10705-1:2001 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
71;374;I10705-2.01;NEN-EN-ISO 10705-2:2001 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
72;375;I10706.00;NEN-ISO 10706:2000 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
73;376;I10707.97;NEN-EN-ISO 10707:1997 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
74;377;I10708.97;ISO 10708:1997 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
75;378;I10712.96;NEN-EN-ISO 10712:1996 en;Norm water-biologisch;;1 april 2017 00:00:00;1 januari 2100 00:00:00
76;379;I11047.98;ISO 11047:1998 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
77;380;I11048.95;ISO 11048:1995 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
78;381;I11083.06;NEN-ISO 11083:2006 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
79;269;I11083.94;ISO 11083:1994 en;Norm vervallen;;10 december 2015 00:00:00;1 januari 2100 00:00:00
80;382;I11260.94;ISO 11260:1994 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
81;270;I11261.95;ISO 11261:1995 en;Norm bodem-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
82;384;I11262.03;ISO 11262:2003 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
83;385;I11263.94;ISO 11263:1994 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
84;386;I11264.07;NEN-ISO 11264:2007 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
85;387;I11265.94;ISO 11265:1994 en;Norm bodem-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
86;388;I11271.02;ISO 11271:2002 en;Norm bodem-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
87;389;I11272.98;ISO 11272:1998 en;Norm bodem-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
88;390;I11274.98;ISO 11274:1998 en;Norm bodem-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
89;391;I11277.98;ISO 11277:1998 en;Norm bodem-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
90;392;I11348-1.99;NEN-EN-ISO 11348-1:1999 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
91;393;I11348-2.99;NEN-EN-ISO 11348-2:1999 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
92;394;I11348-3.99;NEN-EN-ISO 11348-3:1999 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
93;59;I11369.97;NEN-EN-ISO 11369:1997 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
94;207;I11423-1.97;ISO 11423-1:1997 en;Norm water-chemisch;;19 november 2015 00:00:00;1 januari 2100 00:00:00
95;397;I11423-2.97;ISO 11423-2:1997 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
96;398;I11461.01;ISO 11461:2001 en;Norm bodem-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
97;399;I11465.05;NEN-ISO 11465:2005 en;Norm bodem-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
98;400;I11466.95;ISO 11466:1995 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
